ablation,sample_size,replicate,seed,full_tv_error,ablated_tv_error,full_better,invalid_category,full_invalid_mass,ablated_invalid_mass,full_invalid_top1,ablated_invalid_top1
A4_remove_hierarchical_pooling,1,141,11870,0.27811447811447815,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,142,11871,0.07841750841750852,0.214949494949495,True,,,,,
A4_remove_hierarchical_pooling,1,142,11871,0.07841750841750852,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,143,11872,0.09710437710437715,0.21565656565656569,True,,,,,
A4_remove_hierarchical_pooling,1,143,11872,0.09710437710437715,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,144,11873,0.18872053872053873,0.3025252525252526,True,,,,,
A4_remove_hierarchical_pooling,1,144,11873,0.18872053872053873,0.83,True,,,,,
A2_remove_industry_prior,1,145,11874,0.10215488215488214,0.22171717171717173,True,,,,,
A4_remove_hierarchical_pooling,1,145,11874,0.10215488215488214,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,146,11875,0.12057239057239061,0.24191919191919192,True,,,,,
A4_remove_hierarchical_pooling,1,146,11875,0.12057239057239061,0.83,True,,,,,
A2_remove_industry_prior,1,147,11876,0.07175084175084179,0.15101010101010104,True,,,,,
A4_remove_hierarchical_pooling,1,147,11876,0.07175084175084179,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,148,11877,0.09346801346801352,0.36313131313131314,True,,,,,
A4_remove_hierarchical_pooling,1,148,11877,0.09346801346801352,0.83,True,,,,,
A2_remove_industry_prior,1,149,11878,0.10020202020202022,0.3126262626262627,True,,,,,
A4_remove_hierarchical_pooling,1,149,11878,0.10020202020202022,0.83,True,,,,,
